IssueKey,ObservedIV,ObservedIVVersion,OV,OVVersion,FV,FVVersion,FVSource,IVSource,LAV,EffectiveIV,PUsed,OverlapsDataset,SzzFixCommits,SzzRows,JiraAffectedVersions,JiraFixVersions
STORM-1011,,,6,0.9.5,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,2.0017058522872464,3,2.332764715904251,true,1,1,,1.0.0
STORM-1017,,,6,0.9.5,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,2.0017058522872464,3,2.332764715904251,true,2,5,,1.0.0
STORM-1030,,,6,0.9.5,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,2.0017058522872464,3,2.332764715904251,true,2,24,,1.0.0
STORM-1044,,,6,0.9.5,7,0.10.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,4.667235284095749,5,2.332764715904251,true,2,6,,0.10.0
STORM-1051,7,0.10.0,6,0.9.5,8,0.9.6,JIRA_FIX_VERSION,PROPORTION_TOTAL,3.334470568191498,4,2.332764715904251,true,3,3,0.10.0 | 1.0.0 | 0.9.6,0.9.6
STORM-1054,,,6,0.9.5,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,2.0017058522872464,3,2.332764715904251,true,1,1,,1.0.0
STORM-1073,,,6,0.9.5,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,2.0017058522872464,3,2.332764715904251,true,1,10,,1.0.0
STORM-1087,,,6,0.9.5,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,2.0017058522872464,3,2.332764715904251,true,1,1,,1.0.0
STORM-1094,7,0.10.0,6,0.9.5,7,0.10.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,4.667235284095749,5,2.332764715904251,true,1,1,0.10.0 | 1.0.0 | 0.9.6,0.10.0
STORM-1111,,,6,0.9.5,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,2.0017058522872464,3,2.332764715904251,true,1,3,,1.0.0
STORM-1114,,,6,0.9.5,17,1.0.4,JIRA_FIX_VERSION,PROPORTION_TOTAL,-8.66041187494676,1,2.332764715904251,true,4,9,,2.0.0 | 0.10.3 | 1.0.4 | 1.1.1 | 1.2.0
STORM-113,,,1,0.9.0.1,3,0.9.2-incubating,JIRA_FIX_VERSION,PROPORTION_TOTAL,-1.665529431808502,1,2.332764715904251,true,1,1,,0.9.2-incubating
STORM-1161,,,6,0.9.5,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,2.0017058522872464,3,2.332764715904251,true,1,1,,1.0.0
STORM-1180,7,0.10.0,8,0.9.6,9,1.0.0,JIRA_FIX_VERSION,JIRA_AFFECTED_VERSION,,7,,true,1,1,0.10.0,1.0.0 | 0.10.1
STORM-1190,9,1.0.0,8,0.9.6,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,6.667235284095749,7,2.332764715904251,true,1,1,1.0.0,1.0.0
STORM-1219,,,8,0.9.6,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,6.667235284095749,7,2.332764715904251,true,1,4,,1.0.0
STORM-1220,,,8,0.9.6,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,6.667235284095749,7,2.332764715904251,true,2,20,,1.0.0
STORM-1221,,,8,0.9.6,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,6.667235284095749,7,2.332764715904251,true,1,5,,1.0.0
STORM-1348,,,8,0.9.6,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,6.667235284095749,7,2.332764715904251,true,2,17,,1.0.0
STORM-1363,10,0.10.1,8,0.9.6,16,1.1.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,-2.6621177272340084,1,2.332764715904251,true,2,2,0.10.1 | 1.x,2.0.0 | 1.1.0
STORM-1370,,,8,0.9.6,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,6.667235284095749,7,2.332764715904251,true,1,3,,1.0.0
STORM-1417,,,8,0.9.6,9,1.0.0,JIRA_FIX_VERSION,PROPORTION_TOTAL,6.667235284095749,7,2.332764715904251,true,1,1,,1.0.0
