IssueKey,CommitId,CommitDate,ParentCount,IsMerge,IsRevert,IssueInSubject,ChangedFiles,ProductionJavaFiles,ProductionJavaPaths,Subject
STORM-87,b1ccc153d924a971d2f1303023b969f8c975b238,2014-03-12T00:17:58+08:00,1,false,false,true,1,1,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,STORM-87 fail fast on ShellBolt exception
STORM-87,cea872d4e9317601eed60f7fa0a9a831446f41be,2014-07-20T00:40:15+08:00,1,false,false,true,1,1,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,STORM-87 code change accorrding to comments 1. log level change to error 2. use exit instead of halt to terminate jvm
STORM-87,1e3a2b80d4ffe3431bae5912ac3ec39cf12a8ab6,2014-08-07T23:59:29+08:00,2,true,false,true,237,86,external/storm-kafka/src/jvm/storm/kafka/Broker.java | external/storm-kafka/src/jvm/storm/kafka/BrokerHosts.java | external/storm-kafka/src/jvm/storm/kafka/DynamicBrokersReader.java | external/storm-kafka/src/jvm/storm/kafka/DynamicPartitionConnections.java | external/storm-kafka/src/jvm/storm/kafka/FailedFetchException.java | external/storm-kafka/src/jvm/storm/kafka/KafkaConfig.java | external/storm-kafka/src/jvm/storm/kafka/KafkaError.java | external/storm-kafka/src/jvm/storm/kafka/KafkaSpout.java | external/storm-kafka/src/jvm/storm/kafka/KafkaUtils.java | external/storm-kafka/src/jvm/storm/kafka/KeyValueScheme.java | external/storm-kafka/src/jvm/storm/kafka/KeyValueSchemeAsMultiScheme.java | external/storm-kafka/src/jvm/storm/kafka/Partition.java | external/storm-kafka/src/jvm/storm/kafka/PartitionCoordinator.java | external/storm-kafka/src/jvm/storm/kafka/PartitionManager.java | external/storm-kafka/src/jvm/storm/kafka/SpoutConfig.java | external/storm-kafka/src/jvm/storm/kafka/StaticCoordinator.java | external/storm-kafka/src/jvm/storm/kafka/StaticHosts.java | external/storm-kafka/src/jvm/storm/kafka/StaticPartitionConnections.java | external/storm-kafka/src/jvm/storm/kafka/StringKeyValueScheme.java | external/storm-kafka/src/jvm/storm/kafka/StringScheme.java | external/storm-kafka/src/jvm/storm/kafka/ZkCoordinator.java | external/storm-kafka/src/jvm/storm/kafka/ZkHosts.java | external/storm-kafka/src/jvm/storm/kafka/ZkState.java | external/storm-kafka/src/jvm/storm/kafka/bolt/KafkaBolt.java | external/storm-kafka/src/jvm/storm/kafka/trident/Coordinator.java | external/storm-kafka/src/jvm/storm/kafka/trident/DefaultCoordinator.java | external/storm-kafka/src/jvm/storm/kafka/trident/GlobalPartitionInformation.java | external/storm-kafka/src/jvm/storm/kafka/trident/IBatchCoordinator.java | external/storm-kafka/src/jvm/storm/kafka/trident/IBrokerReader.java | external/storm-kafka/src/jvm/storm/kafka/trident/MaxMetric.java | external/storm-kafka/src/jvm/storm/kafka/trident/OpaqueTridentKafkaSpout.java | external/storm-kafka/src/jvm/storm/kafka/trident/StaticBrokerReader.java | external/storm-kafka/src/jvm/storm/kafka/trident/TransactionalTridentKafkaSpout.java | external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaConfig.java | external/storm-kafka/src/jvm/storm/kafka/trident/TridentKafkaEmitter.java | external/storm-kafka/src/jvm/storm/kafka/trident/ZkBrokerReader.java | storm-core/src/jvm/backtype/storm/Config.java | storm-core/src/jvm/backtype/storm/ConfigValidation.java | storm-core/src/jvm/backtype/storm/StormSubmitter.java | storm-core/src/jvm/backtype/storm/messaging/IConnection.java | storm-core/src/jvm/backtype/storm/messaging/netty/Client.java | storm-core/src/jvm/backtype/storm/messaging/netty/Context.java | storm-core/src/jvm/backtype/storm/messaging/netty/ControlMessage.java | storm-core/src/jvm/backtype/storm/messaging/netty/MessageBatch.java | storm-core/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java | storm-core/src/jvm/backtype/storm/messaging/netty/NettyRenameThreadFactory.java | storm-core/src/jvm/backtype/storm/messaging/netty/Server.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormClientErrorHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormClientPipelineFactory.java | storm-core/src/jvm/backtype/storm/messaging/netty/StormServerHandler.java | storm-core/src/jvm/backtype/storm/metric/api/rpc/AssignableShellMetric.java | storm-core/src/jvm/backtype/storm/metric/api/rpc/CombinedShellMetric.java | storm-core/src/jvm/backtype/storm/metric/api/rpc/CountShellMetric.java | storm-core/src/jvm/backtype/storm/metric/api/rpc/IShellMetric.java | storm-core/src/jvm/backtype/storm/metric/api/rpc/ReducedShellMetric.java | storm-core/src/jvm/backtype/storm/multilang/BoltMsg.java | storm-core/src/jvm/backtype/storm/multilang/ISerializer.java | storm-core/src/jvm/backtype/storm/multilang/JsonSerializer.java | storm-core/src/jvm/backtype/storm/multilang/NoOutputException.java | storm-core/src/jvm/backtype/storm/multilang/ShellMsg.java | storm-core/src/jvm/backtype/storm/multilang/SpoutMsg.java | storm-core/src/jvm/backtype/storm/spout/ISpout.java | storm-core/src/jvm/backtype/storm/spout/ShellSpout.java | storm-core/src/jvm/backtype/storm/task/ShellBolt.java | storm-core/src/jvm/backtype/storm/task/TopologyContext.java | storm-core/src/jvm/backtype/storm/testing/PythonShellMetricsBolt.java | storm-core/src/jvm/backtype/storm/testing/PythonShellMetricsSpout.java | storm-core/src/jvm/backtype/storm/testing/TestEventLogSpout.java | storm-core/src/jvm/backtype/storm/testing/TestEventOrderCheckBolt.java | storm-core/src/jvm/backtype/storm/transactional/state/TransactionalState.java | storm-core/src/jvm/backtype/storm/ui/InvalidRequestException.java | storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java | storm-core/src/jvm/backtype/storm/utils/Monitor.java | storm-core/src/jvm/backtype/storm/utils/ShellProcess.java | storm-core/src/jvm/backtype/storm/utils/Time.java | storm-core/src/jvm/backtype/storm/utils/TransferDrainer.java | storm-core/src/jvm/backtype/storm/utils/Utils.java | storm-core/src/jvm/storm/trident/Stream.java | storm-core/src/jvm/storm/trident/spout/RichSpoutBatchTriggerer.java | storm-core/src/jvm/storm/trident/state/map/OpaqueMap.java | storm-core/src/jvm/storm/trident/state/map/RemovableMapState.java | storm-core/src/jvm/storm/trident/testing/MemoryMapState.java | storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java | storm-core/src/jvm/storm/trident/topology/state/TransactionalState.java | storm-core/src/jvm/storm/trident/util/TridentUtils.java,Merge branch 'master' of https://github.com/apache/incubator-storm into STORM-87
STORM-87,aff8d651ee32bec8f39baf32f2ff15595e3e0106,2014-08-07T11:26:25-05:00,2,true,false,true,2,1,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,Merge branch 'STORM-87' of https://github.com/xiaokang/incubator-storm into STORM-87
STORM-87,2ebdbfa7c746e7c75f3aa34866e1c42d9c0fa340,2014-08-07T11:27:10-05:00,1,false,false,true,1,0,,Added STORM-87 to Changelog
STORM-113,1b13ca2281f4aafac92e471167ef0e7c3dccb030,2014-02-02T16:31:11-05:00,1,false,false,true,1,1,storm-core/src/jvm/storm/trident/util/TridentUtils.java,STORM-113: changing static thrift ser/deser to thread local with lazy init
STORM-113,3a9e8fc1ad28942b398fb3864f59989d5720fca7,2014-05-02T14:08:57-05:00,2,true,false,true,1,1,storm-core/src/jvm/storm/trident/util/TridentUtils.java,Merge branch 'storm-113' of github.com:supercargo/incubator-storm
STORM-113,22215b5827d924b35fd5b41d1781af8824c30ce9,2014-05-02T14:09:52-05:00,1,false,false,true,1,0,,Updated CHANGELOG.md for STORM-113: making thrift usage thread safe for local cluster
STORM-130,6b061aaab5a39e4b95670e3f0590bb48de4375fd,2015-01-29T10:22:20-08:00,1,false,false,true,1,0,,STORM-130: Supervisor getting killed due to java.io.FileNotFoundException: File '../stormconf.ser' does not exist.
STORM-130,eaedc83ccfa9cfb150d7ef3e3ba2c4cc5445cb60,2015-01-29T16:14:18-08:00,1,false,false,true,1,0,,STORM-130: Supervisor getting killed due to java.io.FileNotFoundException: File '../stormconf.ser' does not exist.
