IssueKey,CommitId,CommitDate,SelectionStrategy,ParentCount,IsMerge,IssueInSubject,ProductionJavaFiles,ProductionJavaPaths,Subject
STORM-87,b1ccc153d924a971d2f1303023b969f8c975b238,2014-03-12T00:17:58+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,STORM-87 fail fast on ShellBolt exception
STORM-87,cea872d4e9317601eed60f7fa0a9a831446f41be,2014-07-20T00:40:15+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,STORM-87 code change accorrding to comments 1. log level change to error 2. use exit instead of halt to terminate jvm
STORM-113,1b13ca2281f4aafac92e471167ef0e7c3dccb030,2014-02-02T16:31:11-05:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/storm/trident/util/TridentUtils.java,STORM-113: changing static thrift ser/deser to thread local with lazy init
STORM-188,9a2c4129b145b901f320238ea36a282ff7f44d0c,2015-03-31T11:37:30-07:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/utils/Utils.java,STORM-188. Allow user to specifiy full configuration path when running storm command.
STORM-188,0c659c26369b376f30951f779882df2645a0bee0,2015-04-01T08:45:33-07:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/utils/Utils.java,STORM-188. Allow user to specifiy full configuration path when running storm command.
STORM-254,f8c9995ac7f1d5fcdd19b3d0f67f0abd111f320e,2014-07-02T23:32:30+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/task/TopologyContext.java,"resolve storm-254, fobbiden to register same name metrics in different timeBucket"
STORM-259,d5dee0ef5f8ad403d1eff05f569c8e9b1e44508c,2014-03-20T17:36:18-04:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java,STORM-259
STORM-260,28e65a82bfcd60f38c93115974f6a8653756f9b5,2014-03-21T17:17:40-04:00,NON_MERGE,1,false,false,1,storm-core/src/jvm/backtype/storm/utils/Time.java,Fix race condition in Time.java
STORM-264,fa3802afd1053b2d0494997387bfb8b579bf9489,2014-05-19T21:29:44Z,FIRST_PARENT_MERGE,2,true,false,1,storm-core/src/jvm/backtype/storm/Config.java,Merge branch 'delete-topology-optimize-config' of https://github.com/d2r/incubator-storm into STORM-254
STORM-294,f60805a49bdf4b394e6d78ab05bb44a226625beb,2014-04-25T15:40:04Z,FIRST_PARENT_MERGE,2,true,false,1,storm-core/src/jvm/backtype/storm/utils/Utils.java,Merge branch 'comma-fix' of https://github.com/revans2/incubator-storm
STORM-297,be8f8327b3c2d36e89420d62fb8ca530ba726cf3,2014-05-07T11:17:53+08:00,NON_MERGE,1,false,true,2,storm-core/src/jvm/backtype/storm/messaging/netty/NettyRenameThreadFactory.java | storm-core/src/jvm/backtype/storm/utils/TransferDrainer.java,"STORM-297, add thread factory and TransferDrainer"
STORM-297,c5e7a0d0f137cc5f0ccf6116541c16d4a7727598,2014-05-08T10:32:46+08:00,NON_MERGE,1,false,true,4,storm-core/src/jvm/backtype/storm/messaging/netty/Client.java | storm-core/src/jvm/backtype/storm/messaging/netty/MessageDecoder.java | storm-core/src/jvm/backtype/storm/messaging/netty/Server.java | storm-core/src/jvm/backtype/storm/utils/Utils.java,"STORM-297, add more comments"
STORM-297,deb55ec918126400ed94ee49f88c32b9ffda7b5d,2014-05-20T10:33:15+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,"STORM-297, fix the indention"
STORM-297,138a7a7f0bc4aceb829915106673b969552cee85,2014-05-20T10:34:36+08:00,NON_MERGE,1,false,true,1,storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,"STORM-297, use config name instead of literal constants"
STORM-297,c5c3571ca15ee2dd675fb3cac44bd0f926ccfc67,2014-05-20T10:56:26+08:00,NON_MERGE,1,false,true,3,storm-core/src/jvm/backtype/storm/messaging/IConnection.java | storm-core/src/jvm/backtype/storm/messaging/netty/Client.java | storm-core/src/jvm/backtype/storm/messaging/netty/Server.java,"STORM-297: Use recv(int flags, int clientId) to replace recv(int flags) in IConnection interface"
