Project,ReleaseIndex,Version,CommitId,FilePath,LOC,LOC_TOUCHED,NR,NFIX,NAUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET_SIZE,AVG_CHANGE_SET_SIZE,AGE_WEEKS,WEIGHTED_AGE_WEEKS,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,AVG_ND,MAX_ND,AVG_ENTROPY,MAX_ENTROPY,NSMELLS,BUGGY
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/ILocalCluster.java,26.0,40.0,7.0,0.0,5.0,35.0,16.0,5.0,30.0,16.0,4.285714285714286,769.0,559.0,109.85714285714286,115.85714285714286,97.29642857142858,5.0,4.0,0.7142857142857143,19.142857142857142,81.0,0.7948530864299047,0.8865408928220899,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/ILocalDRPC.java,7.0,12.0,3.0,0.0,2.0,11.0,9.0,3.6666666666666665,10.0,9.0,3.3333333333333335,596.0,559.0,198.66666666666666,111.0,108.32142857142857,1.0,1.0,0.3333333333333333,33.333333333333336,81.0,0.6486828601661482,0.7917594620312991,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollector.java,14.0,61.0,7.0,0.0,2.0,45.0,36.0,6.428571428571429,29.0,36.0,4.142857142857143,660.0,559.0,94.28571428571429,102.57142857142857,101.07728337236534,16.0,12.0,2.2857142857142856,16.285714285714285,81.0,0.7622011946371804,0.9910760598382222,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/IBatchBolt.java,11.0,53.0,10.0,0.0,2.0,33.0,17.0,3.3,13.0,17.0,1.3,713.0,559.0,71.3,102.14285714285714,100.86792452830188,20.0,5.0,2.0,13.7,81.0,0.8038206473195114,0.9709505944546686,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java,4.0,5.0,2.0,0.0,2.0,5.0,5.0,2.5,5.0,5.0,2.5,740.0,559.0,370.0,115.85714285714286,115.85714285714286,0.0,0.0,0.0,58.0,81.0,0.7773460961862029,0.7917594620312991,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,64.0,162.0,8.0,0.0,2.0,118.0,41.0,14.75,74.0,40.0,9.25,818.0,559.0,102.25,115.85714285714286,110.31393298059966,44.0,20.0,5.5,18.25,81.0,0.6399554900955339,0.9602297178607611,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,22.0,48.0,6.0,0.0,2.0,40.0,23.0,6.666666666666667,32.0,23.0,5.333333333333333,632.0,559.0,105.33333333333333,110.71428571428571,104.32142857142856,8.0,6.0,1.3333333333333333,18.666666666666668,81.0,0.7760563977708118,0.856679962079904,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,9.0,62.0,7.0,0.0,2.0,44.0,25.0,6.285714285714286,26.0,25.0,3.7142857142857144,627.0,559.0,89.57142857142857,107.42857142857143,95.20276497695853,18.0,6.0,2.5714285714285716,16.714285714285715,81.0,0.5510222463468734,0.7917594620312991,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,19.0,33.0,9.0,0.0,2.0,27.0,17.0,3.0,21.0,17.0,2.3333333333333335,632.0,559.0,70.22222222222223,91.14285714285714,88.71428571428571,6.0,4.0,0.6666666666666666,13.88888888888889,81.0,0.8088927496743029,0.9643391004871137,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,12.0,27.0,5.0,0.0,3.0,21.0,13.0,4.2,15.0,13.0,3.0,576.0,559.0,115.2,91.14285714285714,87.68253968253968,6.0,3.0,1.2,17.8,81.0,0.6810032727170892,0.9643391004871137,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,12.0,15.0,2.0,0.0,2.0,15.0,15.0,7.5,15.0,15.0,7.5,574.0,559.0,287.0,58.285714285714285,58.285714285714285,0.0,0.0,0.0,45.5,81.0,0.7429062989856754,0.7917594620312991,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/BoltFailInfo.java,12.0,21.0,4.0,0.0,3.0,18.0,13.0,4.5,15.0,13.0,3.75,575.0,559.0,143.75,91.14285714285714,86.57142857142857,3.0,2.0,0.75,22.0,81.0,0.8512540908963615,0.9643391004871137,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/EmitInfo.java,15.0,20.0,3.0,0.0,3.0,19.0,16.0,6.333333333333333,18.0,16.0,6.0,567.0,559.0,189.0,91.14285714285714,88.62857142857142,1.0,1.0,0.3333333333333333,28.666666666666668,81.0,0.9066947389489012,0.9910760598382222,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/SpoutAckInfo.java,11.0,19.0,4.0,0.0,3.0,16.0,11.0,4.0,13.0,11.0,3.25,575.0,559.0,143.75,91.14285714285714,86.09022556390978,3.0,2.0,0.75,22.0,81.0,0.8694491473422946,0.9910760598382222,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java,11.0,19.0,4.0,0.0,3.0,16.0,11.0,4.0,13.0,11.0,3.25,575.0,559.0,143.75,91.14285714285714,86.09022556390978,3.0,2.0,0.75,22.0,81.0,0.8694491473422946,0.9910760598382222,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,6.0,33.0,4.0,0.0,2.0,27.0,17.0,6.75,21.0,13.0,5.25,583.0,559.0,145.75,36.714285714285715,36.48051948051948,6.0,4.0,1.5,23.25,81.0,0.8181418518291477,0.9124723569322546,0.0,YES
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/api/ICombiner.java,5.0,6.0,2.0,0.0,2.0,6.0,6.0,3.0,6.0,6.0,3.0,564.0,559.0,282.0,57.285714285714285,57.285714285714285,0.0,0.0,0.0,42.0,81.0,0.791277978137315,0.7917594620312991,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/api/IMetric.java,4.0,7.0,3.0,0.0,2.0,6.0,5.0,2.0,5.0,5.0,1.6666666666666667,587.0,559.0,195.66666666666666,59.42857142857143,58.816326530612244,1.0,1.0,0.3333333333333333,30.333333333333332,81.0,0.812570092228167,0.8328798754639238,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/api/IMetricsConsumer.java,40.0,59.0,8.0,0.0,2.0,52.0,22.0,6.5,45.0,21.0,5.625,612.0,559.0,76.5,59.42857142857143,57.937046004842614,7.0,3.0,0.875,14.0,81.0,0.8805520865999493,0.968715212846104,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/api/IReducer.java,6.0,9.0,3.0,0.0,2.0,8.0,7.0,2.6666666666666665,7.0,7.0,2.3333333333333335,587.0,559.0,195.66666666666666,59.42857142857143,58.95238095238095,1.0,1.0,0.3333333333333333,30.333333333333332,81.0,0.812570092228167,0.8328798754639238,0.0,NO
STORM,1.0,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/metric/api/IStatefulObject.java,4.0,5.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.857142857142858,19.857142857142858,0.0,0.0,0.0,3.0,3.0,0.9138299737758815,0.9138299737758815,0.0,NO
