ReleaseIndex,Version,CommitId,FilePath,RuleSet,Rule,Priority,Line,Description
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/Config.java,Design,TooManyMethods,3,28,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/Constants.java,Design,DataClass,3,7,"The class 'Constants' is suspected to be a Data Class (WOC=0.000%, NOPA=8, NOAM=0, WMC=0)"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/StormSubmitter.java,Design,CyclomaticComplexity,3,56,"The method 'submitTopology(String, Map, StormTopology, SubmitOptions)' has a cyclomatic complexity of 13."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,Design,CognitiveComplexity,3,66,"The method 'extendTopology(TopologyBuilder)' has a cognitive complexity of 15, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,Design,DataClass,3,113,"The class 'Component' is suspected to be a Data Class (WOC=0.000%, NOPA=4, NOAM=0, WMC=1)"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,Design,TooManyMethods,3,130,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,Design,CognitiveComplexity,3,218,"The method 'checkFinishId(Tuple, TupleType)' has a cognitive complexity of 40, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,Design,CyclomaticComplexity,3,218,"The method 'checkFinishId(Tuple, TupleType)' has a cyclomatic complexity of 24."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,Design,NPathComplexity,3,218,"The method 'checkFinishId(Tuple, TupleType)' has an NPath complexity of 2104, current threshold is 200"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,Design,AvoidDeeplyNestedIfStmts,3,241,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,Design,AvoidDeeplyNestedIfStmts,3,244,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,Design,AvoidDeeplyNestedIfStmts,3,260,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,Design,CognitiveComplexity,3,84,"The method 'nextTuple()' has a cognitive complexity of 19, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,Design,CyclomaticComplexity,3,84,The method 'nextTuple()' has a cyclomatic complexity of 10.
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,Design,AvoidDeeplyNestedIfStmts,3,109,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCInputDeclarer.java,Design,TooManyMethods,3,7,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/drpc/LinearDRPCTopologyBuilder.java,Design,CognitiveComplexity,3,78,"The method 'createTopology(DRPCSpout)' has a cognitive complexity of 26, current threshold is 15"
