Index,Version,ReleaseDate,ReleaseDateSource,JiraVersionId,GitHubTag,GitTag,GitCommitId,GitCommitDate,DatasetIncluded
1,0.9.0.1,2013-12-06,JIRA,12326789,,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,2013-12-05,true
2,0.9.1-incubating,2014-02-10,JIRA,12326788,,v0.9.1-incubating,ffc7a81bfba60c735dd6801af4f5e8db3812658c,2014-02-10,true
3,0.9.2-incubating,2014-06-25,JIRA,12326452,,v0.9.2-incubating,24d4a14de310cbbfebdc4a50d8cc9d86f9943087,2014-06-13,true
4,0.9.3,2014-11-25,JIRA,12327112,,v0.9.3,20ce2bb9088e793b3b019110d07e77896bb642e8,2014-11-19,true
5,0.9.4,2015-03-25,JIRA,12329548,,v0.9.4,00091d7952681a39281aa171adfad133a5e26330,2015-03-18,true
6,0.9.5,2015-06-04,JIRA,12332476,,v0.9.5,c9c47b36071c02488ee1e75eb3851e58191b7534,2015-05-29,true
7,0.10.0,2015-11-05,JIRA,12327123,,v0.10.0,d02f94268dec229d1125a24fdf53fa303cbc2b29,2015-10-23,true
8,0.9.6,2015-11-05,JIRA,12333021,,v0.9.6,90a97ad6101de3c01233384e3dd3eeff2dde2ba3,2015-10-28,true
9,1.0.0,2016-04-12,JIRA,12329843,,v1.0.0,dba655a47aaad74f26b9bb9a75fa52c0eedd8b1e,2016-04-05,true
10,0.10.1,2016-05-05,JIRA,12334140,,v0.10.1,8179921a569b6cf1d97798eed8e7b03b131bc495,2016-04-27,true
11,1.0.1,2016-05-06,JIRA,12335587,,v1.0.1,b5c16f919ad4099e6fb25f1095c9af8b64ac9f91,2016-04-29,true
12,1.0.2,2016-08-10,JIRA,12335747,,v1.0.2,54f319fd56c33437364c550a800ac9e6fe058b95,2016-07-26,true
13,0.9.7,2016-09-07,JIRA,12342364,,v0.9.7,b75d9b2b6dbfd0fda0b114feafec1384bbfa30aa,2016-08-15,true
14,0.10.2,2016-09-14,JIRA,12335675,,v0.10.2,d8e4a3b59e6a97165ff769f11c9d4d2d3ecbb9dc,2016-09-02,true
15,1.0.3,2017-02-14,JIRA,12337341,,v1.0.3,eac433b0beb3798c4723deb39b3c4fad446378f4,2017-02-07,true
16,1.1.0,2017-03-29,JIRA,12335748,,v1.1.0,e40d213de7067f7d3aa4d4992b81890d8ed6ff31,2017-03-21,true
17,1.0.4,2017-07-28,JIRA,12339564,,v1.0.4,a5e1c154b5b2ae74fd78bf10d4c130afb1ad4513,2017-07-24,true
18,1.1.1,2017-08-01,JIRA,12339656,,v1.1.1,41bfea87b1a002565333bd18a06d766af1ca3816,2017-07-27,true
19,1.0.5,2017-09-15,JIRA,12341278,,v1.0.5,a445446e46e2228fabb83368cc25cf5422a2c400,2017-09-05,false
20,1.0.6,2018-02-14,JIRA,12341596,,v1.0.6,7993db01580ce62d44866dc00e0a7266984638d0,2018-02-08,false
21,1.1.2,2018-02-15,JIRA,12341265,,v1.1.2,0bb7a66a9b26ad96afc81b27dd45f93ae8969c44,2018-02-08,false
22,1.2.0,2018-02-15,JIRA,12341047,,v1.2.0,2a0097f9a20b9df494caadb87c87d4e4db01a7ed,2018-02-07,false
23,1.2.1,2018-02-15,JIRA,12342766,,v1.2.1,d156d25d991311eaa1f5131d3dc34787f87ce684,2018-02-16,false
24,1.1.3,2018-06-04,JIRA,12342767,,v1.1.3,c51c8fc251856291597a5007a07e433f26951464,2018-05-17,false
25,1.2.2,2018-06-04,JIRA,12342807,,v1.2.2,d2d6f40344e6cc92ab07f3a462d577ef6b61f8b1,2018-05-17,false
26,2.0.0,2019-05-30,JIRA,12334657,,v2.0.0,2ba95bbd1c911d4fc6363b1c4b9c4c6d86ac9aae,2019-04-29,false
27,1.2.3,2019-07-19,JIRA,12343340,,v1.2.3,4e162a47c8219546ab9639401363a8f1b5e51119,2019-05-04,false
28,2.1.0,2019-10-31,JIRA,12345999,,v2.1.0,79fc9b3e6aeec623b42d165536a936d28f2b12f1,2019-10-25,false
29,2.2.0,2020-06-30,JIRA,12346055,,v2.2.0,bf1986345de5de605abb4fc7b6051fce762bbca5,2020-06-18,false
30,2.3.0,2021-09-27,JIRA,12348353,,v2.3.0,b5252eda18e76c4f42af58d7481ea66cf3ec8471,2021-09-23,false
31,1.2.4,2021-10-11,JIRA,12345449,,v1.2.4,1bc944091b727e9a892bb36349231fcc57d9ea30,2021-10-01,false
32,2.2.1,2021-10-11,JIRA,12348559,,v2.2.1,1d86ffd1adc1920e6788a76f017b2e2f873a7162,2021-09-29,false
33,2.1.1,2021-10-14,JIRA,12346669,,v2.1.1,c5009d993ee049cd0b7c3fe0dad2fc8f700ddb5f,2021-09-29,false
34,2.4.0,2022-03-25,JIRA,12350695,,v2.4.0,a432e99bca526886655cc1d5b2453a09b302b5ca,2022-03-09,false
35,2.5.0,2023-08-04,JIRA,12351557,,v2.5.0,710d868110e76d13b0b2d4ce12d4fac5c9c6801e,2023-08-02,false
36,2.6.0,2023-11-16,JIRA,12353484,,v2.6.0,ae3a96e762095553311d9e335f7505c0b351d810,2023-11-16,false
37,2.6.1,2024-02-02,JIRA,12353868,,v2.6.1,682c54d320f4f349efdb580d03616902eb23b4d6,2024-01-30,false
38,2.6.2,2024-04-05,JIRA,12354435,,v2.6.2,1be2faa1006b9063a866c450a8c2aaad19e3e25f,2024-04-02,false
39,2.6.3,2024-08-09,JIRA,12354485,,v2.6.3,72f95026501fec6dcd85a8383fb4767db47d3a5b,2024-07-16,false
40,2.7.0,2024-09-03,JIRA,12355059,v2.7.0,v2.7.0,b95a7f25a114ae7fb9c23cbc2979d3cfff09fa73,2024-10-11,false
41,2.7.1,2024-12-02,JIRA,12354194,v2.7.1,v2.7.1,c4eb41553d54ad4d6b787bbda76ad0e4834a017d,2024-11-18,false
42,2.8.0,2025-01-24,GITHUB,,v2.8.0,v2.8.0,c633e688337a95d735902c73da67e5c73d265003,2025-01-19,false
43,2.8.1,2025-06-03,GITHUB,,v2.8.1,v2.8.1,69f24159c64fc41b094ecfe295d8b2402f9a8527,2025-05-25,false
44,2.8.2,2025-08-03,GITHUB,,v2.8.2,v2.8.2,dda23bb92f7eef7010015ab888c67bc85ce7855e,2025-07-26,false
45,2.8.3,2025-11-02,GITHUB,,v2.8.3,v2.8.3,58cf04659db79f56981ebf4beaade3457ccfede3,2025-10-25,false
46,2.8.4,2026-03-02,GITHUB,,v2.8.4,v2.8.4,004f59d2469240af43b66a65537e2752b8b77138,2026-02-28,false
47,2.8.5,2026-03-25,GITHUB,,v2.8.5,v2.8.5,c3d657b9c060f5161bf656a5c197a7fc4585cc13,2026-03-19,false
48,2.8.6,2026-04-07,GITHUB,,v2.8.6,v2.8.6,1d21736ccc9a11506214214b4d43efe83843b3e0,2026-04-07,false
49,2.8.7,2026-04-19,GITHUB,,v2.8.7,v2.8.7,db9cce52989123da301e401f4b7561848dd625af,2026-04-19,false
50,2.8.8,2026-05-18,GITHUB,,v2.8.8,v2.8.8,917952c9aba8d9ba654797c5e85c4da3dc9bddba,2026-05-11,false
51,2.8.9,2026-07-22,GITHUB,,v2.8.9,v2.8.9,bfc02e4b78b708492c6fbbb39be96e5a96cb7da5,2026-07-18,false
52,3.0.0,2026-07-22,GITHUB,,v3.0.0,v3.0.0,d17de0c3dc087c25142184c8df11747327214456,2026-07-19,false
