Mode,Classifier,FS,Balancing,Repetition,Seed,Folds,OOFPredictions,ClassifierOptions,Precision,Recall,AUC,Kappa,NPofB20
"FULL","RandomForest","No","No",1,1,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8711711712,0.7779565567,0.9815237623,0.8063894426,0.8688656476
"FULL","NaiveBayes","No","No",1,1,10,14611,"",0.2741151978,0.3177795656,0.7674538457,0.2233948983,0.1922767498
"FULL","IBk","No","No",1,1,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7401709402,0.6967015286,0.8391792963,0.6924021205,0.7015285599
"FULL","RandomForest","Yes","No",1,1,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8459507042,0.7731295253,0.9787098295,0.7909150430,0.8600160901
"FULL","NaiveBayes","Yes","No",1,1,10,14611,"",0.2837573386,0.3499597747,0.7523258915,0.2421972915,0.2276749799
"FULL","IBk","Yes","No",1,1,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7465918204,0.7489943685,0.9136541653,0.7242987874,0.7683024940
"FULL","RandomForest","No","Yes",1,1,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8323932313,0.8310539019,0.9823859514,0.8160898572,0.8535800483
"FULL","NaiveBayes","No","Yes",1,1,10,14611,"",0.2676488643,0.3507642800,0.7687490100,0.2292373469,0.2172164119
"FULL","IBk","No","Yes",1,1,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6492042440,0.7876106195,0.8790599590,0.6820904466,0.7771520515
"FULL","RandomForest","Yes","Yes",1,1,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7734553776,0.8157683025,0.9758473303,0.7743398576,0.8439259855
"FULL","NaiveBayes","Yes","Yes",1,1,10,14611,"",0.2558494405,0.4046661303,0.7546033069,0.2336040836,0.2461786002
"FULL","IBk","Yes","Yes",1,1,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6606217617,0.8205953339,0.9305759771,0.7040757815,0.8101367659
"FULL","RandomForest","No","No",2,2,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8707052441,0.7747385358,0.9826524046,0.8042408709,0.8632341110
"FULL","NaiveBayes","No","No",2,2,10,14611,"",0.2734864301,0.3161705551,0.7675931055,0.2223364398,0.1938857603
"FULL","IBk","No","No",2,2,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7386070507,0.6910699920,0.8338080444,0.6884227952,0.6950925181
"FULL","RandomForest","Yes","No",2,2,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8487848785,0.7586484312,0.9705225083,0.7838305269,0.8495575221
"FULL","NaiveBayes","Yes","No",2,2,10,14611,"",0.2836506894,0.3475462591,0.7527884158,0.2412843364,0.2212389381
"FULL","IBk","Yes","No",2,2,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7480190174,0.7594529364,0.9368698704,0.7306001577,0.7884151247
"FULL","RandomForest","No","Yes",2,2,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8276409849,0.8382944489,0.9828694489,0.8172906401,0.8527755430
"FULL","NaiveBayes","No","Yes",2,2,10,14611,"",0.2692071297,0.3523732904,0.7689792340,0.2310578036,0.2204344328
"FULL","IBk","No","Yes",2,2,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6344510191,0.7763475463,0.8681266499,0.6670935464,0.7610619469
"FULL","RandomForest","Yes","Yes",2,2,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7710566616,0.8101367659,0.9705389980,0.7700694564,0.8342719228
"FULL","NaiveBayes","Yes","Yes",2,2,10,14611,"",0.2539440204,0.4014481094,0.7553177206,0.2309468494,0.2542236525
"FULL","IBk","Yes","Yes",2,2,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6623036649,0.8141592920,0.9428145611,0.7025110039,0.8141592920
"FULL","RandomForest","No","No",3,3,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8694096601,0.7819790829,0.9823930528,0.8079028861,0.8720836685
"FULL","NaiveBayes","No","No",3,3,10,14611,"",0.2740585774,0.3161705551,0.7675992440,0.2227737407,0.1938857603
"FULL","IBk","No","No",3,3,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7379543533,0.7023330652,0.8400962806,0.6943432201,0.7055510861
"FULL","RandomForest","Yes","No",3,3,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8445229682,0.7691069992,0.9764654838,0.7878477521,0.8543845535
"FULL","NaiveBayes","Yes","No",3,3,10,14611,"",0.2785388128,0.3435237329,0.7505376006,0.2358358836,0.2236524537
"FULL","IBk","Yes","No",3,3,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7673841060,0.7457763475,0.9146433673,0.7341306619,0.7650844730
"FULL","RandomForest","No","Yes",3,3,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8318654924,0.8358809332,0.9833260454,0.8183802615,0.8551890587
"FULL","NaiveBayes","No","Yes",3,3,10,14611,"",0.2698706100,0.3523732904,0.7686530507,0.2316167388,0.2196299276
"FULL","IBk","No","Yes",3,3,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6426207809,0.7811745776,0.8713721135,0.6747980146,0.7666934835
"FULL","RandomForest","Yes","Yes",3,3,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7759146341,0.8189863234,0.9749195735,0.7774221808,0.8431214803
"FULL","NaiveBayes","Yes","Yes",3,3,10,14611,"",0.2528147390,0.3974255833,0.7533151838,0.2288452093,0.2502011263
"FULL","IBk","Yes","Yes",3,3,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6666666667,0.8125502816,0.9278081734,0.7048270547,0.8045052293
"FULL","RandomForest","No","No",4,4,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8656583630,0.7827835881,0.9814151348,0.8065040508,0.8624296058
"FULL","NaiveBayes","No","No",4,4,10,14611,"",0.2727905358,0.3153660499,0.7665450460,0.2215152534,0.1922767498
"FULL","IBk","No","No",4,4,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7290108063,0.7055510861,0.8475584759,0.6912526283,0.7071600965
"FULL","RandomForest","Yes","No",4,4,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8412556054,0.7546259051,0.9718193277,0.7777047508,0.8527755430
"FULL","NaiveBayes","Yes","No",4,4,10,14611,"",0.2822045153,0.3419147224,0.7498802089,0.2381939482,0.2212389381
"FULL","IBk","Yes","No",4,4,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7644694534,0.7650844730,0.9351336365,0.7428954146,0.7972646822
"FULL","RandomForest","No","Yes",4,4,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8247422680,0.8366854385,0.9813025354,0.8148023721,0.8439259855
"FULL","NaiveBayes","No","Yes",4,4,10,14611,"",0.2687576876,0.3515687852,0.7677289650,0.2304259004,0.2188254224
"FULL","IBk","No","Yes",4,4,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6347031963,0.7827835881,0.8737915872,0.6700019685,0.7674979887
"FULL","RandomForest","Yes","Yes",4,4,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7624434389,0.8133547868,0.9725929297,0.7665771504,0.8423169751
"FULL","NaiveBayes","Yes","Yes",4,4,10,14611,"",0.2511369378,0.3998390990,0.7524059930,0.2278049820,0.2510056315
