Dataset,Classifier,FS,Balancing,Repetitions,PrecisionMean,PrecisionStd,RecallMean,RecallStd,AUCMean,AUCStd,KappaMean,KappaStd,NPofB20Mean,NPofB20Std
"STORM","RandomForest","No","No",10,0.8700544260,0.0039254990,0.7869670153,0.0089006061,0.9831337507,0.0014463874,0.8111485032,0.0062125413,0.8677393403,0.0044259975
"STORM","NaiveBayes","No","No",10,0.2732509309,0.0010208302,0.3164923572,0.0015264413,0.7673678193,0.0003850174,0.2222712648,0.0012877695,0.1937248592,0.0009889562
"STORM","IBk","No","No",10,0.7358806191,0.0056146532,0.7032180209,0.0064298933,0.8439776964,0.0057763033,0.6936858631,0.0043921257,0.7058728882,0.0056277043
"STORM","RandomForest","Yes","No",10,0.8401204984,0.0053230783,0.7650040225,0.0070385907,0.9745796358,0.0025259138,0.7832035286,0.0050004129,0.8550281577,0.0049126813
"STORM","NaiveBayes","Yes","No",10,0.2824790505,0.0029173124,0.3456154465,0.0046479086,0.7543996801,0.0039268022,0.2396887617,0.0037970268,0.2241351569,0.0021852023
"STORM","IBk","Yes","No",10,0.7577091097,0.0077203938,0.7624296058,0.0111543231,0.9342459906,0.0127931902,0.7376390586,0.0084978145,0.7905068383,0.0159021832
"STORM","RandomForest","No","Yes",10,0.8298564761,0.0042341261,0.8388576026,0.0046300812,0.9832703475,0.0009184455,0.8188304010,0.0040149755,0.8526146420,0.0045160707
"STORM","NaiveBayes","No","Yes",10,0.2689782103,0.0008381473,0.3514883347,0.0009631689,0.7686169900,0.0003533396,0.2305861060,0.0009539943,0.2193081255,0.0010176276
"STORM","IBk","No","Yes",10,0.6410376252,0.0053702473,0.7884955752,0.0076740222,0.8775610715,0.0057492350,0.6768104976,0.0054470559,0.7719227675,0.0067974212
"STORM","RandomForest","Yes","Yes",10,0.7672520344,0.0068169699,0.8185036203,0.0065159957,0.9742233768,0.0019156978,0.7720086047,0.0059232038,0.8429605793,0.0048980209
"STORM","NaiveBayes","Yes","Yes",10,0.2532372856,0.0016835233,0.4002413516,0.0028189590,0.7567441617,0.0037704586,0.2299545487,0.0020700186,0.2492357200,0.0039009057
"STORM","IBk","Yes","Yes",10,0.6655183128,0.0078887181,0.8193081255,0.0068180203,0.9423923884,0.0092431451,0.7069028319,0.0067525108,0.8137570394,0.0058538160
