Mode,Repetition,Seed,Fold,InputPredictors,SelectedPredictors,SelectedFeatures,TrainYesBefore,TrainNoBefore,TrainYesAfterSmote,TrainNoAfterSmote,TestYes,TestNo,SmotePercentage
"FULL",1,1,1,24,13,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ND|AVG_ENTROPY|NSMELLS",1118,12031,12031,12031,125,1337,976.1180679785
"FULL",1,1,2,24,9,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",1,1,3,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",1,1,4,24,8,"LOC|NFIX|MAX_CHURN|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",1,1,5,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",1,1,6,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",1,1,7,24,14,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ND|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",1,1,8,24,14,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ND|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",1,1,9,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",1,1,10,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",2,2,1,24,8,"LOC|NFIX|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1118,12031,12031,12031,125,1337,976.1180679785
"FULL",2,2,2,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",2,2,3,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",2,2,4,24,13,"LOC|LOC_TOUCHED|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",2,2,5,24,11,"LOC|NFIX|LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",2,2,6,24,9,"LOC|NFIX|LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",2,2,7,24,12,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",2,2,8,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",2,2,9,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",2,2,10,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",3,3,1,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12031,12031,12031,125,1337,976.1180679785
"FULL",3,3,2,24,10,"LOC|LOC_TOUCHED|NFIX|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",3,3,3,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",3,3,4,24,12,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
