Dataset,Feature,SelectedFolds,TotalFolds,SelectionFrequency,InputPredictors,MinSelectedPredictors,MeanSelectedPredictors,MaxSelectedPredictors
"STORM","AVG_CHANGE_SET_SIZE",100,100,1.0000000000,24,6,10.6300000000,14
"STORM","AVG_ENTROPY",100,100,1.0000000000,24,6,10.6300000000,14
"STORM","LOC",100,100,1.0000000000,24,6,10.6300000000,14
"STORM","NFIX",100,100,1.0000000000,24,6,10.6300000000,14
"STORM","NSMELLS",97,100,0.9700000000,24,6,10.6300000000,14
"STORM","MAX_CHURN",95,100,0.9500000000,24,6,10.6300000000,14
"STORM","CHANGE_SET_SIZE",89,100,0.8900000000,24,6,10.6300000000,14
"STORM","AVG_LOC_DELETED",84,100,0.8400000000,24,6,10.6300000000,14
"STORM","MAX_ENTROPY",81,100,0.8100000000,24,6,10.6300000000,14
"STORM","MAX_LOC_ADDED",81,100,0.8100000000,24,6,10.6300000000,14
"STORM","MAX_LOC_DELETED",73,100,0.7300000000,24,6,10.6300000000,14
"STORM","WEIGHTED_AGE_WEEKS",24,100,0.2400000000,24,6,10.6300000000,14
"STORM","LOC_ADDED",21,100,0.2100000000,24,6,10.6300000000,14
"STORM","AVG_ND",7,100,0.0700000000,24,6,10.6300000000,14
"STORM","LOC_TOUCHED",4,100,0.0400000000,24,6,10.6300000000,14
"STORM","LOC_DELETED",3,100,0.0300000000,24,6,10.6300000000,14
"STORM","CHURN",2,100,0.0200000000,24,6,10.6300000000,14
"STORM","NAUTH",2,100,0.0200000000,24,6,10.6300000000,14
"STORM","AGE_WEEKS",0,100,0.0000000000,24,6,10.6300000000,14
"STORM","AVG_CHURN",0,100,0.0000000000,24,6,10.6300000000,14
"STORM","AVG_LOC_ADDED",0,100,0.0000000000,24,6,10.6300000000,14
"STORM","MAX_CHANGE_SET_SIZE",0,100,0.0000000000,24,6,10.6300000000,14
"STORM","MAX_ND",0,100,0.0000000000,24,6,10.6300000000,14
"STORM","NR",0,100,0.0000000000,24,6,10.6300000000,14
